,clean_name,transactor_type
1667,butzel long pac,Organization
1668,retired detroit police/fire assn pac,Organization
1669,committee to elect gene haymaker,Organization
1670,jack coleman for state representativ,Organization
1671,tuscola county republican party,Organization
1672,menominee county democratic party,Organization
1673,the martin l cousineau committee,Organization
1674,terence mekoski for senate,Organization
1675,iosco co rep comm,Organization
1676,michigan list,Organization
1677,cte jeff yaroch for state rep,Organization
1678,allor majority fund,Organization
1679,committee to elect sue allor,Organization
1680,barrett brigade leadership fund pac,Organization
1681,mecosta county republican party,Organization
1682,bill sowerby for state rep,Organization
1683,frankenmuth pac,Organization
1684,mi rural pac,Organization
1685,friends of marie fielder,Organization
1686,greater oakland republicans,Organization
1687,washtenaw county democratic committe,Organization
1688,michigan petroleum association polit,Organization
1689,local union no 58 international brot,Organization
3411,mi chiropractic society pac,Organization
3412,committee to retain judge joseph lon,Organization
3413,calhoun county republican committee,Organization
3414,eaton county democratic executive co,Organization
3415,kalamazoo county republican committe,Organization
3416,michigan democratic party rural cauc,Organization
3417,centene corporation political action,Organization
3419,presque isle county republican commi,Organization
3420,friends of farmers insurance pac,Organization
3421,simon group holdings pac,Organization
3422,leelanau county republican committee,Organization
4641,property management assn pmam pac,Organization
4642,antrim county democratic party,Organization
4643,michigan propane pac,Organization
4644,moes pac,Organization
4645,grand rapids police officers assoc p,Organization
4646,plymouth democratic club,Organization
4647,garza working for michigan fund,Organization
4648,alex garza for state representative,Organization
4649,south lyon area democrats,Organization
4650,friends of anthony paesano,Organization
4651,committee to elect mark tisdel,Organization
4652,cheboygan county republican committe,Organization
4653,barnett leadership fund,Organization
4654,1st congressional dist rep comm,Organization
4655,dickinson county democratic executiv,Organization
4656,rochester area democratic club pac,Organization
4657,leelanau county democratic committee,Organization
4658,detroit police lieutenants and serge,Organization
5183,cheboygan county democratic committe,Organization
5184,committee to elect nicholas john hat,Organization
5185,committee to elect john c gillis,Organization
5186,novi democratic club,Organization
5187,michigan family medicine pac board (,Organization
5188,huron county democratic committee,Organization
5189,lincoln park firefighters pac,Organization
